period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density
47902550818,47907057304,47907056396,47907057304,4505578,445.832288540,445.877325310,445.877320870,445.877325310,0.045032330,1,1,1
47907057304,47912828201,47912827277,47912828201,5769973,445.877325310,445.935037010,445.935030860,445.935037010,0.057705550,1,1,1
47912828201,47918517819,47918517009,47918517819,5688808,445.935037010,445.991930810,445.991927080,445.991930810,0.056890070,1,1,1
47918517819,47924198767,47924197947,47924198767,5680128,445.991930810,446.048740080,446.048736120,446.048740080,0.056805310,1,1,1
47924198767,47929895444,47929894624,47929895444,5695857,446.048740080,446.105706860,446.105702810,446.105706860,0.056962730,1,1,1
47929895444,47935576780,47935576007,47935576780,5680563,446.105706860,446.162520060,446.162515820,446.162520060,0.056808960,1,1,1
47935576780,47941271568,47941270827,47941271568,5694047,446.162520060,446.219468280,446.219464470,446.219468280,0.056944410,1,1,1
47941271568,47946953173,47946952493,47946953173,5680925,446.219468280,446.276284190,446.276280170,446.276284190,0.056811890,1,1,1
47946953173,47951865519,47951864835,47951865519,4911662,446.276284190,446.325407810,446.325404210,446.325407810,0.049120020,1,1,1
47951865519,47957548061,47957547417,47957548061,5681898,446.325407810,446.382232860,446.382229190,446.382232860,0.056821380,1,1,1
47957548061,47962882786,47962881909,47962882786,5333848,446.382232860,446.435580470,446.435576280,446.435580470,0.053343420,1,1,1
47962882786,47968627839,47968625687,47968627839,5742901,446.435580470,446.493030640,446.493020450,446.493030640,0.057439980,1,1,1
47968627839,47973740572,47973739846,47973740572,5112007,446.493030640,446.544158330,446.544154550,446.544158330,0.051123910,1,1,1
47973740572,47979422660,47979421909,47979422660,5681337,446.544158330,446.600978860,446.600975060,446.600978860,0.056816730,1,1,1
47979422660,47985190357,47985189612,47985190357,5766952,446.600978860,446.658656080,446.658652110,446.658656080,0.057673250,1,1,1
47985190357,47990875418,47990874520,47990875418,5684163,446.658656080,446.715506440,446.715501680,446.715506440,0.056845600,1,1,1
47990875418,47996570658,47996569962,47996570658,5694544,446.715506440,446.772459350,446.772454860,446.772459350,0.056948420,1,1,1
47996570658,48002261308,48002260711,48002261308,5690053,446.772459350,446.829365690,446.829362060,446.829365690,0.056902710,1,1,1
48002261308,48007996525,48007995596,48007996525,5734288,446.829365690,446.886717500,446.886712740,446.886717500,0.057347050,1,1,1
48007996525,48013691411,48013690567,48013691411,5694042,446.886717500,446.943666370,446.943662570,446.943666370,0.056945070,1,1,1
