period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density
90011841238,90013821774,90013820497,90013821774,1979259,866.925215850,866.944972010,866.944963820,866.944972010,0.019747970,1,1,1
90013821774,90022864474,90022861228,90022864474,9039454,866.944972010,867.035398370,867.035379670,867.035398370,0.090407660,1,1,1
90022864474,90031920594,90031917104,90031920594,9052630,867.035398370,867.125962240,867.125941020,867.125962240,0.090542650,1,1,1
90031920594,90040988115,90040984764,90040988115,9064170,867.125962240,867.216637470,867.216619200,867.216637470,0.090656960,1,1,1
90040988115,90050053288,90050050087,90050053288,9061972,867.216637470,867.307285140,867.307272410,867.307285140,0.090634940,1,1,1
90050053288,90059120023,90059117086,90059120023,9063798,867.307285140,867.397956720,867.397939670,867.397956720,0.090654530,1,1,1
90059120023,90068330569,90068329539,90068330569,9209516,867.397956720,867.490060510,867.490053200,867.490060510,0.092096480,1,1,1
90068330569,90077354974,90077353976,90077354974,9023407,867.490060510,867.580303340,867.580297880,867.580303340,0.090237370,1,1,1
90077354974,90086384383,90086383374,90086384383,9028400,867.580303340,867.670597100,867.670591490,867.670597100,0.090288150,1,1,1
90086384383,90095418040,90095417060,90095418040,9032677,867.670597100,867.760932660,867.760928930,867.760932660,0.090331830,1,1,1
90095418040,90104542223,90104538439,90104542223,9120399,867.760932660,867.852178610,867.852157400,867.852178610,0.091224740,1,1,1
90104542223,90113098696,90113097758,90113098696,8555535,867.852178610,867.937739220,867.937735860,867.937739220,0.085557250,1,1,1
90113098696,90122148762,90122147828,90122148762,9049132,867.937739220,868.028239880,868.028236010,868.028239880,0.090496790,1,1,1
90122148762,90130992543,90130991587,90130992543,8842825,868.028239880,868.116677710,868.116673940,868.116677710,0.088434060,1,1,1
90130992543,90140017092,90140016184,90140017092,9023641,868.116677710,868.206923190,868.206920150,868.206923190,0.090242440,1,1,1
90140017092,90149056415,90149053212,90149056415,9036120,868.206923190,868.297320480,868.297303580,868.297320480,0.090380390,1,1,1
90149056415,90158112200,90158111389,90158112200,9054974,868.297320480,868.387876200,868.387870640,868.387876200,0.090550160,1,1,1
90158112200,90167274144,90167270213,90167274144,9158013,868.387876200,868.479493710,868.479476700,868.479493710,0.091600500,1,1,1
90167274144,90175295443,90175294507,90175295443,8020363,868.479493710,868.559707940,868.559702380,868.559707940,0.080208670,1,1,1
90175295443,90184328767,90184327748,90184328767,9032305,868.559707940,868.650039940,868.650035160,868.650039940,0.090327220,1,1,1
